GENE,TYPE,MAX_CORR
ACMSD,EXP,0.0
AGR2,EXP,0.0
AGT,EXP,0.0
AGXT,EXP,0.0
AHSG,EXP,0.0
ALDOB,EXP,0.0
ANGPTL3,EXP,0.0
ANXA13,EXP,0.0
ARG1,EXP,0.0
ASGR2,EXP,0.0
C4BPB,EXP,0.0
C6,EXP,0.0
C8A,EXP,0.0
CPB2,EXP,0.0
CYP4F3,EXP,0.0
FGA,EXP,0.0
FGL1,EXP,0.0
FTCD,EXP,0.0
FXYD2,EXP,0.0
GP2,EXP,0.0
HAL,EXP,0.0
HGD,EXP,0.0
HOGA1,EXP,0.0
HPR,EXP,0.0
HPX,EXP,0.0
HRG,EXP,0.0
ITIH1,EXP,0.0
ITIH2,EXP,0.0
KNG1,EXP,0.0
LIPC,EXP,0.0
NPSR1-AS1,EXP,0.0
ORM1,EXP,0.0
ORM2,EXP,0.0
RBP2,EXP,0.0
SERPINA11,EXP,0.0
SERPINA6,EXP,0.0
SERPINC1,EXP,0.0
SERPINF2,EXP,0.0
SLC22A9,EXP,0.0
SLC3A1,EXP,0.0
TM4SF5,EXP,0.0
ZNF831-rt,RT,0.985235
DNAJC2-rt,RT,0.984942
KLF3-rt,RT,0.983943
SLC8A1-AS1-rt,RT,0.983790
LINC01104-rt,RT,0.983360
RIN3-rt,RT,0.979077
SAMD5-rt,RT,0.977239
FLJ13197-rt,RT,0.973978
PMPCB-rt,RT,0.971480
SCN7A-rt,RT,0.967359
TLR10-rt,RT,0.965182
STXBP5-rt,RT,0.963262
LINC01080-rt,RT,0.959972
SLC26A5-rt,RT,0.959478
SAMD13-rt,RT,0.958892
CYP2J2-rt,RT,0.956408
PKP4-rt,RT,0.950863
DNASE2B-rt,RT,0.945904
JAG1-rt,RT,0.942022
TNS3-rt,RT,0.929519
PRKACB-rt,RT,0.920091
