GENE,TYPE,MAX_CORR
ACMSD,EXP,0.0
AGR2,EXP,0.0
AGT,EXP,0.0
AGXT,EXP,0.0
AHSG,EXP,0.0
ALDOB,EXP,0.0
ANGPTL3,EXP,0.0
ANXA13,EXP,0.0
ARG1,EXP,0.0
ASGR2,EXP,0.0
C4BPB,EXP,0.0
C6,EXP,0.0
C8A,EXP,0.0
CPB2,EXP,0.0
CYP4F3,EXP,0.0
FGA,EXP,0.0
FGL1,EXP,0.0
FTCD,EXP,0.0
FXYD2,EXP,0.0
GP2,EXP,0.0
HAL,EXP,0.0
HGD,EXP,0.0
HOGA1,EXP,0.0
HPR,EXP,0.0
HPX,EXP,0.0
HRG,EXP,0.0
ITIH1,EXP,0.0
ITIH2,EXP,0.0
KNG1,EXP,0.0
LIPC,EXP,0.0
NPSR1-AS1,EXP,0.0
ORM1,EXP,0.0
ORM2,EXP,0.0
RBP2,EXP,0.0
SERPINA11,EXP,0.0
SERPINA6,EXP,0.0
SERPINC1,EXP,0.0
SERPINF2,EXP,0.0
SLC22A9,EXP,0.0
SLC3A1,EXP,0.0
TM4SF5,EXP,0.0
ZNF831-rt,RT,0.985235
DNAJC2-rt,RT,0.984942
KLF3-rt,RT,0.983943
SLC8A1-AS1-rt,RT,0.983790
LINC01104-rt,RT,0.983360
RIN3-rt,RT,0.979077
SAMD5-rt,RT,0.977239
FLJ13197-rt,RT,0.973978
MIR30B-rt,RT,0.973481
C4orf19-rt,RT,0.972408
PMPCB-rt,RT,0.971480
SCN7A-rt,RT,0.967359
AGTR1-rt,RT,0.967259
TLR10-rt,RT,0.965182
STXBP5-rt,RT,0.963262
RELL1-rt,RT,0.962220
TLR6-rt,RT,0.961892
LONRF2-rt,RT,0.961039
LINC01080-rt,RT,0.959972
SLC26A5-rt,RT,0.959478
SAMD13-rt,RT,0.958892
CYP2J2-rt,RT,0.956408
EDN3-rt,RT,0.951972
RCBTB2-rt,RT,0.951960
RELN-rt,RT,0.950914
PKP4-rt,RT,0.950863
TGM6-rt,RT,0.948535
LPAR6-rt,RT,0.948441
NPAS2-rt,RT,0.946046
DNASE2B-rt,RT,0.945904
TGM3-rt,RT,0.944803
ORC5-rt,RT,0.942446
JAG1-rt,RT,0.942022
ERO1LB-rt,RT,0.936056
DPY19L3-rt,RT,0.930854
IYD-rt,RT,0.930026
TNS3-rt,RT,0.929519
CAP2-rt,RT,0.927660
LINC00919-rt,RT,0.922105
SPHKAP-rt,RT,0.921936
PPP1R14C-rt,RT,0.921872
RBM24-rt,RT,0.920923
PRKACB-rt,RT,0.920091
AKR1C2-rt,RT,0.919847
SLC17A2-rt,RT,0.915845
PLEKHG1-rt,RT,0.915588
HTR1E-rt,RT,0.914205
KL-rt,RT,0.909505
CCL20-rt,RT,0.908053
SNRPB-rt,RT,0.907865
SNORD119-rt,RT,0.907534
CDYL2-rt,RT,0.906488
FAM114A1-rt,RT,0.906320
MIR574-rt,RT,0.906010
DAW1-rt,RT,0.905775
SCN9A-rt,RT,0.903565
KCNMA1-rt,RT,0.902813
RPF1-rt,RT,0.899679
GLIS3-rt,RT,0.899596
KATNBL1P6-rt,RT,0.899442
LNX2-rt,RT,0.899031
AKR1C3-rt,RT,0.897915
DMBT1-rt,RT,0.897321
LYSMD4-rt,RT,0.896234
ZNF343-rt,RT,0.895380
CPB1-rt,RT,0.894306
STAB2-rt,RT,0.893922
NDRG1-rt,RT,0.893716
PSAPL1-rt,RT,0.893288
STMND1-rt,RT,0.891285
METRNL-rt,RT,0.887631
STXBP5-AS1-rt,RT,0.886219
SLC19A2-rt,RT,0.885548
LHFPL3-rt,RT,0.885393
DYNLRB2-rt,RT,0.881252
KIAA1024-rt,RT,0.879679
TSPAN32-rt,RT,0.879457
FOXK1-rt,RT,0.877722
ST7-OT3-rt,RT,0.875354
SCGN-rt,RT,0.875267
TTC40-rt,RT,0.875119
ASCL2-rt,RT,0.871205
BMP10-rt,RT,0.865511
C10orf118-rt,RT,0.864392
MBNL2-rt,RT,0.855207
SIRPB1-rt,RT,0.848306
TMEM156-rt,RT,0.847489
SLC17A3-rt,RT,0.846844
RALGAPA2-rt,RT,0.844545
WDR7-rt,RT,0.840957
STK3-rt,RT,0.839018
GPAM-rt,RT,0.837405
MEF2A-rt,RT,0.837258
NUDT15-rt,RT,0.834528
MAST4-rt,RT,0.832820
TOX3-rt,RT,0.831118
KIAA1211L-rt,RT,0.823838
SOX6-rt,RT,0.823498
HIVEP2-rt,RT,0.817160
RAP2A-rt,RT,0.816715
KCNS2-rt,RT,0.815550
KIAA1377-rt,RT,0.809531
ITGA8-rt,RT,0.806277
NPR3-rt,RT,0.805503
RHOU-rt,RT,0.798904
RBL2-rt,RT,0.797947
