GENE,TYPE,MAX_CORR
ACMSD,EXP,0.0
AGR2,EXP,0.0
AGT,EXP,0.0
AGXT,EXP,0.0
AHSG,EXP,0.0
ALDOB,EXP,0.0
ANGPTL3,EXP,0.0
ANXA13,EXP,0.0
ARG1,EXP,0.0
ASGR2,EXP,0.0
ATF5,EXP,0.0
C4BPB,EXP,0.0
C6,EXP,0.0
C8A,EXP,0.0
CDX2,EXP,0.0
CEBPA,EXP,0.0
CPB2,EXP,0.0
CREB3L3,EXP,0.0
CYP4F3,EXP,0.0
DENND4A,EXP,0.0
EBF4,EXP,0.0
EEPD1,EXP,0.0
FBXO38,EXP,0.0
FGA,EXP,0.0
FGL1,EXP,0.0
FOXA3,EXP,0.0
FTCD,EXP,0.0
FXYD2,EXP,0.0
GLIS3,EXP,0.0
GMCL1,EXP,0.0
GP2,EXP,0.0
HAL,EXP,0.0
HGD,EXP,0.0
HIST1H2AC,EXP,0.0
HIST1H2BD,EXP,0.0
HNF4G,EXP,0.0
HOGA1,EXP,0.0
HP,EXP,0.0
HPR,EXP,0.0
HPX,EXP,0.0
HRG,EXP,0.0
ITIH1,EXP,0.0
ITIH2,EXP,0.0
KLF15,EXP,0.0
KLHDC2,EXP,0.0
KNG1,EXP,0.0
LGALS3,EXP,0.0
LIPC,EXP,0.0
NFE2,EXP,0.0
NKX6-2,EXP,0.0
NPSR1-AS1,EXP,0.0
NR0B2,EXP,0.0
NR1H3,EXP,0.0
NR1H4,EXP,0.0
NR1I3,EXP,0.0
NR2E3,EXP,0.0
NR2F2,EXP,0.0
NR5A2,EXP,0.0
ONECUT1,EXP,0.0
ONECUT2,EXP,0.0
ORM1,EXP,0.0
ORM2,EXP,0.0
PPARA,EXP,0.0
PRDM16,EXP,0.0
PROX1,EXP,0.0
RBP2,EXP,0.0
RTKN,EXP,0.0
RXRA,EXP,0.0
SEC14L2,EXP,0.0
SERPINA11,EXP,0.0
SERPINA6,EXP,0.0
SERPINC1,EXP,0.0
SERPINF2,EXP,0.0
SLC22A9,EXP,0.0
SLC2A4RG,EXP,0.0
SLC3A1,EXP,0.0
SOX9,EXP,0.0
STAT1,EXP,0.0
STAT4,EXP,0.0
TLE1,EXP,0.0
TM4SF5,EXP,0.0
TP53INP1,EXP,0.0
ZBED3,EXP,0.0
ZFP36L2,EXP,0.0
ZNF189,EXP,0.0
ZNF467,EXP,0.0
ZNF831-rt,RT,0.994040
DNAJC2-rt,RT,0.993124
LINC01104-rt,RT,0.992971
STXBP5-rt,RT,0.989840
PMPCB-rt,RT,0.987778
KLF3-rt,RT,0.986851
TNS3-rt,RT,0.986643
FLJ13197-rt,RT,0.986289
SLC26A5-rt,RT,0.985205
SCN7A-rt,RT,0.984886
CYP2J2-rt,RT,0.984245
SLC8A1-AS1-rt,RT,0.983790
SAMD5-rt,RT,0.981447
RIN3-rt,RT,0.979078
LINC01080-rt,RT,0.978172
SAMD13-rt,RT,0.969637
TLR10-rt,RT,0.969297
DNASE2B-rt,RT,0.968351
PKP4-rt,RT,0.965065
PRKACB-rt,RT,0.947452
JAG1-rt,RT,0.946317
