GENE,TYPE,MAX_CORR
ADRA1B,EXP,0.0
ATP8B4,EXP,0.0
CCDC85A,EXP,0.0
CEBPD,EXP,0.0
CHRDL2,EXP,0.0
CILP,EXP,0.0
CLCA2,EXP,0.0
CMKLR1,EXP,0.0
COL15A1,EXP,0.0
COL8A2,EXP,0.0
COMP,EXP,0.0
CRISPLD2,EXP,0.0
CXCL14,EXP,0.0
DUOXA1,EXP,0.0
EGFLAM,EXP,0.0
ENDOD1,EXP,0.0
HGF,EXP,0.0
LAMA2,EXP,0.0
LRFN5,EXP,0.0
LTBR,EXP,0.0
MC1R,EXP,0.0
MFAP4,EXP,0.0
MMP23B,EXP,0.0
NFKBIZ,EXP,0.0
NLRP3,EXP,0.0
OGN,EXP,0.0
OSR1,EXP,0.0
PROK1,EXP,0.0
PTGES,EXP,0.0
PTPRR,EXP,0.0
REG4,EXP,0.0
RSPO2,EXP,0.0
S100A4,EXP,0.0
SERPINB13,EXP,0.0
SLC2A10,EXP,0.0
SLITRK6,EXP,0.0
SMCO3,EXP,0.0
SOCS3,EXP,0.0
SPRR3,EXP,0.0
SVEP1,EXP,0.0
TGFBR3,EXP,0.0
TNNT3,EXP,0.0
WFDC1,EXP,0.0
ZBED2,EXP,0.0
DAB2-rt,RT,0.999708
HMHB1-rt,RT,0.999255
ADAMTS1-rt,RT,0.999244
LINC00615-rt,RT,0.999128
KL-rt,RT,0.999107
EPYC-rt,RT,0.998835
AC078941.1-rt,RT,0.998772
LINC00113-rt,RT,0.998567
PTN-rt,RT,0.998538
MIR181B1-rt,RT,0.998349
LIPF-rt,RT,0.998337
RAB3C-rt,RT,0.998228
MIR490-rt,RT,0.997927
ARHGAP25-rt,RT,0.997886
IFNE-rt,RT,0.997706
LUM-rt,RT,0.997604
CPQ-rt,RT,0.997364
STXBP5-rt,RT,0.997252
KCTD12-rt,RT,0.997123
RAB32-rt,RT,0.997094
PDE7B-rt,RT,0.997012
NAV3-rt,RT,0.996935
TPR-rt,RT,0.996885
C2orf88-rt,RT,0.996836
ABCA6-rt,RT,0.996813
STARD13-rt,RT,0.996675
DMRTA1-rt,RT,0.996556
MSTN-rt,RT,0.996512
SHC3-rt,RT,0.996496
KCNJ15-rt,RT,0.996352
PTPRD-rt,RT,0.996285
TCTEX1D1-rt,RT,0.996282
TMEM74-rt,RT,0.996282
VCAM1-rt,RT,0.996226
AGR3-rt,RT,0.996187
LIPK-rt,RT,0.996176
C4BPB-rt,RT,0.996151
CTSO-rt,RT,0.996090
ODF2L-rt,RT,0.995927
EXTL2-rt,RT,0.995848
GNAT3-rt,RT,0.995714
MAP9-rt,RT,0.995707
AHR-rt,RT,0.995637
PTPRC-rt,RT,0.995618
MIR5009-rt,RT,0.995581
SNTB1-rt,RT,0.995536
KERA-rt,RT,0.995529
TMEM26-rt,RT,0.995528
PRG4-rt,RT,0.995502
INSL5-rt,RT,0.995430
TSPYL5-rt,RT,0.995369
FSCB-rt,RT,0.995352
SLC30A7-rt,RT,0.995249
CHRM2-rt,RT,0.995218
BMP10-rt,RT,0.994899
VEGFC-rt,RT,0.994872
DCN-rt,RT,0.994765
GUCY1A3-rt,RT,0.994764
CLCA2-rt,RT,0.994759
EPS8-rt,RT,0.994724
NPAS2-rt,RT,0.994674
MIR181A1HG-rt,RT,0.994632
RERG-rt,RT,0.994611
WDR78-rt,RT,0.994577
TGFBR2-rt,RT,0.994472
HECTD2-rt,RT,0.994326
BLID-rt,RT,0.994221
RAP2B-rt,RT,0.994104
PDE1A-rt,RT,0.994093
LNX1-rt,RT,0.994077
FIP1L1-rt,RT,0.994048
DDX60-rt,RT,0.994029
TMEM244-rt,RT,0.994025
SLC38A4-rt,RT,0.994009
TES-rt,RT,0.993935
ADAMTSL1-rt,RT,0.993871
ENPP2-rt,RT,0.993783
ACTBL2-rt,RT,0.993587
TBX18-rt,RT,0.993568
ITGA2-rt,RT,0.993558
COLEC10-rt,RT,0.993550
C15orf54-rt,RT,0.993543
RP4-544H6.2-rt,RT,0.993529
IL1RL1-rt,RT,0.993415
MBNL1-AS1-rt,RT,0.993395
IMPG2-rt,RT,0.993341
S1PR3-rt,RT,0.993187
BMP5-rt,RT,0.993161
DPH5-rt,RT,0.993125
YIPF5-rt,RT,0.993075
C9orf47-rt,RT,0.993030
P2RY1-rt,RT,0.993009
MBNL1-rt,RT,0.992866
GUCY1B3-rt,RT,0.992826
IMMT-rt,RT,0.992792
L3MBTL3-rt,RT,0.992754
MIR125B1-rt,RT,0.992693
GAPT-rt,RT,0.992630
SAMD13-rt,RT,0.992621
SYT4-rt,RT,0.992485
SMIM21-rt,RT,0.992350
TDO2-rt,RT,0.992347
CDH11-rt,RT,0.992330
EREG-rt,RT,0.992198
ZFPM2-rt,RT,0.992191
