GENE,TYPE,MAX_CORR
ADRA1B,EXP,0.0
ATF3,EXP,0.0
ATP8B4,EXP,0.0
BATF,EXP,0.0
BHLHE40,EXP,0.0
CAPNS2,EXP,0.0
CCDC85A,EXP,0.0
CEBPB,EXP,0.0
CEBPD,EXP,0.0
CHRDL2,EXP,0.0
CILP,EXP,0.0
CLCA2,EXP,0.0
CMKLR1,EXP,0.0
COL15A1,EXP,0.0
COL8A2,EXP,0.0
COMP,EXP,0.0
CRISPLD2,EXP,0.0
CXCL14,EXP,0.0
DUOXA1,EXP,0.0
EGFLAM,EXP,0.0
EGR1,EXP,0.0
ENDOD1,EXP,0.0
EPAS1,EXP,0.0
ETS2,EXP,0.0
FOS,EXP,0.0
FOSB,EXP,0.0
FOXF1,EXP,0.0
FOXJ2,EXP,0.0
FOXQ1,EXP,0.0
FXYD3,EXP,0.0
H2AFJ,EXP,0.0
HAND2,EXP,0.0
HGF,EXP,0.0
HIST1H1C,EXP,0.0
HOXA11,EXP,0.0
JUN,EXP,0.0
JUNB,EXP,0.0
JUP,EXP,0.0
KCNIP3,EXP,0.0
KLF4,EXP,0.0
KLF6,EXP,0.0
LAMA2,EXP,0.0
LRFN5,EXP,0.0
LTBR,EXP,0.0
LUM,EXP,0.0
MC1R,EXP,0.0
MFAP4,EXP,0.0
MMP23B,EXP,0.0
NFKBIZ,EXP,0.0
NLRP3,EXP,0.0
NR3C1,EXP,0.0
NR4A3,EXP,0.0
OGN,EXP,0.0
OSR1,EXP,0.0
OVOL1,EXP,0.0
PHF11,EXP,0.0
PLAG1,EXP,0.0
PROK1,EXP,0.0
PTGES,EXP,0.0
PTPRR,EXP,0.0
REG4,EXP,0.0
RNF112,EXP,0.0
RPS6KA4,EXP,0.0
RSPO2,EXP,0.0
RUNX1,EXP,0.0
S100A4,EXP,0.0
SERPINB13,EXP,0.0
SLC2A10,EXP,0.0
SLITRK6,EXP,0.0
SMCO3,EXP,0.0
SOCS3,EXP,0.0
SPRR3,EXP,0.0
STAT2,EXP,0.0
SVEP1,EXP,0.0
TGFBR3,EXP,0.0
TNNT3,EXP,0.0
TP63,EXP,0.0
TRAK1,EXP,0.0
WFDC1,EXP,0.0
ZBED2,EXP,0.0
ZBTB4,EXP,0.0
ZBTB47,EXP,0.0
ZNF175,EXP,0.0
ZNF395,EXP,0.0
ZNF524,EXP,0.0
ZNF641,EXP,0.0
ZSCAN4,EXP,0.0
