GENE,TYPE,MAX_CORR
ADAM15,EXP,0.0
AK5,EXP,0.0
CAV1,EXP,0.0
COL12A1,EXP,0.0
COL5A3,EXP,0.0
COL8A1,EXP,0.0
CORO1C,EXP,0.0
CPA4,EXP,0.0
CRIM1,EXP,0.0
CSPG4,EXP,0.0
DRAP1,EXP,0.0
EDIL3,EXP,0.0
EVA1A,EXP,0.0
F2RL2,EXP,0.0
FBN1,EXP,0.0
FN1,EXP,0.0
FOSL1,EXP,0.0
FOXS1,EXP,0.0
GPC1,EXP,0.0
GREM1,EXP,0.0
IGFBP4,EXP,0.0
IL15,EXP,0.0
IL7R,EXP,0.0
ITGA11,EXP,0.0
ITGB7,EXP,0.0
KCNMA1,EXP,0.0
LACTB,EXP,0.0
LOC645638,EXP,0.0
MAP1A,EXP,0.0
MBNL1,EXP,0.0
MGLL,EXP,0.0
MPP4,EXP,0.0
NGF,EXP,0.0
NTN4,EXP,0.0
OLFML1,EXP,0.0
PRKCA,EXP,0.0
PRSS23,EXP,0.0
RUNX2,EXP,0.0
SFTA1P,EXP,0.0
SH3RF3,EXP,0.0
SRGN,EXP,0.0
STARD13,EXP,0.0
STK32B,EXP,0.0
THBS2,EXP,0.0
VGLL3,EXP,0.0
LINC00670-rt,RT,0.999917
MIR548G-rt,RT,0.999914
RPP30-rt,RT,0.999849
LINC00502-rt,RT,0.999802
DCBLD2-rt,RT,0.999715
COL8A1-rt,RT,0.999708
PCSK1-rt,RT,0.999635
GLIS3-rt,RT,0.999568
TMEM14E-rt,RT,0.999549
DAB2-rt,RT,0.999479
TMEM207-rt,RT,0.999463
PTDSS1-rt,RT,0.999458
DCBLD1-rt,RT,0.999424
TFEC-rt,RT,0.999402
TES-rt,RT,0.999394
EGFR-rt,RT,0.999388
GRIA2-rt,RT,0.999359
ATIC-rt,RT,0.999357
SEC61G-rt,RT,0.999288
RRP15-rt,RT,0.999243
MRPL19-rt,RT,0.999222
MIR583-rt,RT,0.999220
FYB-rt,RT,0.999190
SUCNR1-rt,RT,0.999156
TNFSF4-rt,RT,0.999091
OGFRL1-rt,RT,0.999055
AHR-rt,RT,0.999049
LINC00472-rt,RT,0.999020
CLDN16-rt,RT,0.998999
UQCRB-rt,RT,0.998987
CD44-rt,RT,0.998942
MIR137HG-rt,RT,0.998927
CSGALNACT1-rt,RT,0.998919
SH2D4A-rt,RT,0.998903
MOCS2-rt,RT,0.998822
ZNF365-rt,RT,0.998802
NEK7-rt,RT,0.998733
INHBA-rt,RT,0.998732
ATP6V1G3-rt,RT,0.998691
GDF6-rt,RT,0.998678
MIR30C2-rt,RT,0.998634
PELO-rt,RT,0.998592
ITGA1-rt,RT,0.998591
CD274-rt,RT,0.998591
IRS1-rt,RT,0.998569
EDIL3-rt,RT,0.998523
LOC100506023-rt,RT,0.998412
TGFB2-rt,RT,0.998404
RP11-224O19.2-rt,RT,0.998364
ARID5B-rt,RT,0.998357
IL1RAP-rt,RT,0.998235
RTKN2-rt,RT,0.998212
C10orf107-rt,RT,0.998173
SEMA5A-rt,RT,0.998157
CD96-rt,RT,0.998089
HECW2-rt,RT,0.998071
ADAMTSL1-rt,RT,0.998014
ST3GAL6-rt,RT,0.997966
MBNL1-rt,RT,0.997892
PCED1B-rt,RT,0.997758
CAV2-rt,RT,0.997621
PDGFC-rt,RT,0.997586
OSMR-rt,RT,0.997580
MICU3-rt,RT,0.997552
ITGA2-rt,RT,0.997536
TGFBR2-rt,RT,0.997507
TNFRSF11B-rt,RT,0.997494
FGF14-rt,RT,0.997455
DNASE2B-rt,RT,0.997425
TNFSF18-rt,RT,0.997406
IL22-rt,RT,0.997404
ORMDL1-rt,RT,0.997377
PLGRKT-rt,RT,0.997318
GLRB-rt,RT,0.997316
RHBDD1-rt,RT,0.997286
PTHLH-rt,RT,0.997278
PMS1-rt,RT,0.997268
SDPR-rt,RT,0.997206
ITGBL1-rt,RT,0.997192
MBNL1-AS1-rt,RT,0.997167
ANKRD1-rt,RT,0.996955
SLC38A4-rt,RT,0.996946
TMEM244-rt,RT,0.996920
KITLG-rt,RT,0.996916
ARHGAP25-rt,RT,0.996803
ST3GAL6-AS1-rt,RT,0.996682
ARHGAP44-rt,RT,0.996677
OSGEPL1-rt,RT,0.996622
FN1-rt,RT,0.996349
AMIGO2-rt,RT,0.996138
PTPRC-rt,RT,0.996108
LINC00643-rt,RT,0.996084
CPOX-rt,RT,0.996021
PDCD1LG2-rt,RT,0.995986
TMTC3-rt,RT,0.995758
RLN1-rt,RT,0.995537
WISP1-rt,RT,0.995298
FILIP1L-rt,RT,0.995272
FGF20-rt,RT,0.995055
CAV1-rt,RT,0.994914
MED30-rt,RT,0.994871
PDHX-rt,RT,0.994795
IVNS1ABP-rt,RT,0.994772
HTR7-rt,RT,0.994606
MYOCD-rt,RT,0.994445
C15orf54-rt,RT,0.994379
GADL1-rt,RT,0.994348
FMN2-rt,RT,0.994283
SLA-rt,RT,0.994153
GDNF-rt,RT,0.994049
ZBED2-rt,RT,0.993850
ANXA1-rt,RT,0.993645
CMSS1-rt,RT,0.993600
RP11-356I2.4-rt,RT,0.993194
