GENE,TYPE,MAX_CORR
ABCC8,EXP,0.0
ACOT7,EXP,0.0
C11orf87,EXP,0.0
CAMK2B,EXP,0.0
CELA3A,EXP,0.0
CHGA,EXP,0.0
CLEC4G,EXP,0.0
CLPS,EXP,0.0
CNGA3,EXP,0.0
COL28A1,EXP,0.0
CRH,EXP,0.0
CRYBA2,EXP,0.0
ERO1LB,EXP,0.0
FEV,EXP,0.0
FGF14,EXP,0.0
FSTL5,EXP,0.0
GAD2,EXP,0.0
GALR1,EXP,0.0
GFRA3,EXP,0.0
GUCA2B,EXP,0.0
INS,EXP,0.0
INSM1,EXP,0.0
KCNJ6,EXP,0.0
KCNK16,EXP,0.0
KCNK17,EXP,0.0
KIRREL2,EXP,0.0
LINC00607,EXP,0.0
MIR7-3HG,EXP,0.0
MSMB,EXP,0.0
NDFIP1,EXP,0.0
NEUROD1,EXP,0.0
NKX2-2,EXP,0.0
NPHS1,EXP,0.0
PAX4,EXP,0.0
PCSK1,EXP,0.0
PDX1,EXP,0.0
PTF1A,EXP,0.0
RAB26,EXP,0.0
SCGB1A1,EXP,0.0
SCGN,EXP,0.0
SCTR,EXP,0.0
SDR9C7,EXP,0.0
SLC4A4,EXP,0.0
SV2B,EXP,0.0
SLCO1C1-rt,RT,0.918633
