EXP_GENE,RT_GENE,CORR
ACMSD,CCL20-rt,0.825632472817
AGR2,CCL20-rt,0.825632472817
AGT,CCL20-rt,0.825632472817
AGXT,CCL20-rt,0.825632472817
AHSG,CCL20-rt,0.825632472817
ALDOB,CCL20-rt,0.825632472817
ANGPTL3,CCL20-rt,0.825632472817
ANXA13,CCL20-rt,0.825632472817
ARG1,CCL20-rt,0.825632472817
ASGR2,CCL20-rt,0.825632472817
C4BPB,CCL20-rt,0.825632472817
C6,CCL20-rt,0.825632472817
C8A,CCL20-rt,0.825632472817
CPB2,CCL20-rt,0.825632472817
CYP4F3,CCL20-rt,0.825632472817
FGA,CCL20-rt,0.825632472817
FGL1,CCL20-rt,0.825632472817
FTCD,CCL20-rt,0.825632472817
FXYD2,CCL20-rt,0.825632472817
GP2,CCL20-rt,0.825632472817
HAL,CCL20-rt,0.825632472817
HGD,CCL20-rt,0.825632472817
HOGA1,CCL20-rt,0.825632472817
HPR,CCL20-rt,0.825632472817
HPX,CCL20-rt,0.825632472817
HRG,CCL20-rt,0.825632472817
ITIH1,CCL20-rt,0.825632472817
ITIH2,CCL20-rt,0.825632472817
KNG1,CCL20-rt,0.825632472817
LIPC,CCL20-rt,0.825632472817
NPSR1-AS1,CCL20-rt,0.825632472817
ORM1,CCL20-rt,0.825632472817
ORM2,CCL20-rt,0.825632472817
RBP2,CCL20-rt,0.825632472817
SERPINA11,CCL20-rt,0.825632472817
SERPINA6,CCL20-rt,0.825632472817
SERPINC1,CCL20-rt,0.825632472817
SERPINF2,CCL20-rt,0.825632472817
SLC22A9,CCL20-rt,0.825632472817
SLC3A1,CCL20-rt,0.825632472817
TM4SF5,CCL20-rt,0.825632472817
ACMSD,CYP2J2-rt,0.953082360205
AGR2,CYP2J2-rt,0.953082360205
AGT,CYP2J2-rt,0.953082360205
AGXT,CYP2J2-rt,0.953082360205
AHSG,CYP2J2-rt,0.953082360205
ALDOB,CYP2J2-rt,0.953082360205
ANGPTL3,CYP2J2-rt,0.953082360205
ANXA13,CYP2J2-rt,0.953082360205
ARG1,CYP2J2-rt,0.953082360205
ASGR2,CYP2J2-rt,0.953082360205
C4BPB,CYP2J2-rt,0.953082360205
C6,CYP2J2-rt,0.953082360205
C8A,CYP2J2-rt,0.953082360205
CPB2,CYP2J2-rt,0.953082360205
CYP4F3,CYP2J2-rt,0.953082360205
FGA,CYP2J2-rt,0.953082360205
FGL1,CYP2J2-rt,0.953082360205
FTCD,CYP2J2-rt,0.953082360205
FXYD2,CYP2J2-rt,0.953082360205
GP2,CYP2J2-rt,0.953082360205
HAL,CYP2J2-rt,0.953082360205
HGD,CYP2J2-rt,0.953082360205
HOGA1,CYP2J2-rt,0.953082360205
HPR,CYP2J2-rt,0.953082360205
HPX,CYP2J2-rt,0.953082360205
HRG,CYP2J2-rt,0.953082360205
ITIH1,CYP2J2-rt,0.953082360205
ITIH2,CYP2J2-rt,0.953082360205
KNG1,CYP2J2-rt,0.953082360205
LIPC,CYP2J2-rt,0.953082360205
NPSR1-AS1,CYP2J2-rt,0.953082360205
ORM1,CYP2J2-rt,0.953082360205
ORM2,CYP2J2-rt,0.953082360205
RBP2,CYP2J2-rt,0.953082360205
SERPINA11,CYP2J2-rt,0.953082360205
SERPINA6,CYP2J2-rt,0.953082360205
SERPINC1,CYP2J2-rt,0.953082360205
SERPINF2,CYP2J2-rt,0.953082360205
SLC22A9,CYP2J2-rt,0.953082360205
SLC3A1,CYP2J2-rt,0.953082360205
TM4SF5,CYP2J2-rt,0.953082360205
ACMSD,CDYL2-rt,0.83635251234
AGR2,CDYL2-rt,0.83635251234
AGT,CDYL2-rt,0.83635251234
AGXT,CDYL2-rt,0.83635251234
AHSG,CDYL2-rt,0.83635251234
ALDOB,CDYL2-rt,0.83635251234
ANGPTL3,CDYL2-rt,0.83635251234
ANXA13,CDYL2-rt,0.83635251234
ARG1,CDYL2-rt,0.83635251234
ASGR2,CDYL2-rt,0.83635251234
C4BPB,CDYL2-rt,0.83635251234
C6,CDYL2-rt,0.83635251234
C8A,CDYL2-rt,0.83635251234
CPB2,CDYL2-rt,0.83635251234
CYP4F3,CDYL2-rt,0.83635251234
FGA,CDYL2-rt,0.83635251234
FGL1,CDYL2-rt,0.83635251234
