EXP_GENE,RT_GENE,CORR
ACMSD,SLC8A1-AS1-rt,0.919282958093
AGR2,SLC8A1-AS1-rt,0.919282958093
AGT,SLC8A1-AS1-rt,0.919282958093
AGXT,SLC8A1-AS1-rt,0.919282958093
AHSG,SLC8A1-AS1-rt,0.919282958093
ALDOB,SLC8A1-AS1-rt,0.919282958093
ANGPTL3,SLC8A1-AS1-rt,0.919282958093
ANXA13,SLC8A1-AS1-rt,0.919282958093
ARG1,SLC8A1-AS1-rt,0.919282958093
ASGR2,SLC8A1-AS1-rt,0.919282958093
ATF5,SLC8A1-AS1-rt,0.919282958093
C4BPB,SLC8A1-AS1-rt,0.919282958093
C6,SLC8A1-AS1-rt,0.919282958093
C8A,SLC8A1-AS1-rt,0.919282958093
CDX2,SLC8A1-AS1-rt,0.919282958093
CEBPA,SLC8A1-AS1-rt,0.919282958093
CPB2,SLC8A1-AS1-rt,0.919282958093
CREB3L3,SLC8A1-AS1-rt,0.919282958093
CYP4F3,SLC8A1-AS1-rt,0.919282958093
DENND4A,SLC8A1-AS1-rt,0.919282958093
EBF4,SLC8A1-AS1-rt,0.919282958093
EEPD1,SLC8A1-AS1-rt,0.919282958093
FBXO38,SLC8A1-AS1-rt,0.919282958093
FGA,SLC8A1-AS1-rt,0.919282958093
FGL1,SLC8A1-AS1-rt,0.919282958093
FOXA3,SLC8A1-AS1-rt,0.919282958093
FTCD,SLC8A1-AS1-rt,0.919282958093
FXYD2,SLC8A1-AS1-rt,0.919282958093
GLIS3,SLC8A1-AS1-rt,0.919282958093
GMCL1,SLC8A1-AS1-rt,0.919282958093
GP2,SLC8A1-AS1-rt,0.919282958093
HAL,SLC8A1-AS1-rt,0.919282958093
HGD,SLC8A1-AS1-rt,0.919282958093
HIST1H2AC,SLC8A1-AS1-rt,0.919282958093
HIST1H2BD,SLC8A1-AS1-rt,0.919282958093
HNF4G,SLC8A1-AS1-rt,0.919282958093
HOGA1,SLC8A1-AS1-rt,0.919282958093
HP,SLC8A1-AS1-rt,0.919282958093
HPR,SLC8A1-AS1-rt,0.919282958093
HPX,SLC8A1-AS1-rt,0.919282958093
HRG,SLC8A1-AS1-rt,0.919282958093
ITIH1,SLC8A1-AS1-rt,0.919282958093
ITIH2,SLC8A1-AS1-rt,0.919282958093
KLF15,SLC8A1-AS1-rt,0.919282958093
KLHDC2,SLC8A1-AS1-rt,0.919282958093
KNG1,SLC8A1-AS1-rt,0.919282958093
LGALS3,SLC8A1-AS1-rt,0.919282958093
