EXP_GENE,RT_GENE,CORR
ABCC8,COMMD3-rt,0.836209492808
ACOT7,COMMD3-rt,0.836209492808
C11orf87,COMMD3-rt,0.836209492808
CAMK2B,COMMD3-rt,0.836209492808
CELA3A,COMMD3-rt,0.836209492808
CHGA,COMMD3-rt,0.836209492808
CLEC4G,COMMD3-rt,0.836209492808
CLPS,COMMD3-rt,0.836209492808
CNGA3,COMMD3-rt,0.836209492808
COL28A1,COMMD3-rt,0.836209492808
CRH,COMMD3-rt,0.836209492808
CRYBA2,COMMD3-rt,0.836209492808
ERO1LB,COMMD3-rt,0.836209492808
FEV,COMMD3-rt,0.836209492808
FGF14,COMMD3-rt,0.836209492808
FSTL5,COMMD3-rt,0.836209492808
GAD2,COMMD3-rt,0.836209492808
GALR1,COMMD3-rt,0.836209492808
GFRA3,COMMD3-rt,0.836209492808
GUCA2B,COMMD3-rt,0.836209492808
INS,COMMD3-rt,0.836209492808
INSM1,COMMD3-rt,0.836209492808
KCNJ6,COMMD3-rt,0.836209492808
KCNK16,COMMD3-rt,0.836209492808
KCNK17,COMMD3-rt,0.836209492808
KIRREL2,COMMD3-rt,0.836209492808
LINC00607,COMMD3-rt,0.836209492808
MIR7-3HG,COMMD3-rt,0.836209492808
MSMB,COMMD3-rt,0.836209492808
NDFIP1,COMMD3-rt,0.836209492808
NEUROD1,COMMD3-rt,0.836209492808
NKX2-2,COMMD3-rt,0.836209492808
NPHS1,COMMD3-rt,0.836209492808
PAX4,COMMD3-rt,0.836209492808
PCSK1,COMMD3-rt,0.836209492808
PDX1,COMMD3-rt,0.836209492808
PTF1A,COMMD3-rt,0.836209492808
RAB26,COMMD3-rt,0.836209492808
SCGB1A1,COMMD3-rt,0.836209492808
SCGN,COMMD3-rt,0.836209492808
SCTR,COMMD3-rt,0.836209492808
SDR9C7,COMMD3-rt,0.836209492808
SLC4A4,COMMD3-rt,0.836209492808
SV2B,COMMD3-rt,0.836209492808
ABCC8,NPTX2-rt,0.775159589092
ACOT7,NPTX2-rt,0.775159589092
C11orf87,NPTX2-rt,0.775159589092
CAMK2B,NPTX2-rt,0.775159589092
CELA3A,NPTX2-rt,0.775159589092
CHGA,NPTX2-rt,0.775159589092
CLEC4G,NPTX2-rt,0.775159589092
CLPS,NPTX2-rt,0.775159589092
CNGA3,NPTX2-rt,0.775159589092
COL28A1,NPTX2-rt,0.775159589092
CRH,NPTX2-rt,0.775159589092
CRYBA2,NPTX2-rt,0.775159589092
ERO1LB,NPTX2-rt,0.775159589092
FEV,NPTX2-rt,0.775159589092
FGF14,NPTX2-rt,0.775159589092
FSTL5,NPTX2-rt,0.775159589092
GAD2,NPTX2-rt,0.775159589092
GALR1,NPTX2-rt,0.775159589092
GFRA3,NPTX2-rt,0.775159589092
GUCA2B,NPTX2-rt,0.775159589092
INS,NPTX2-rt,0.775159589092
INSM1,NPTX2-rt,0.775159589092
KCNJ6,NPTX2-rt,0.775159589092
KCNK16,NPTX2-rt,0.775159589092
KCNK17,NPTX2-rt,0.775159589092
KIRREL2,NPTX2-rt,0.775159589092
LINC00607,NPTX2-rt,0.775159589092
MIR7-3HG,NPTX2-rt,0.775159589092
MSMB,NPTX2-rt,0.775159589092
NDFIP1,NPTX2-rt,0.775159589092
NEUROD1,NPTX2-rt,0.775159589092
NKX2-2,NPTX2-rt,0.775159589092
NPHS1,NPTX2-rt,0.775159589092
PAX4,NPTX2-rt,0.775159589092
PCSK1,NPTX2-rt,0.775159589092
PDX1,NPTX2-rt,0.775159589092
PTF1A,NPTX2-rt,0.775159589092
RAB26,NPTX2-rt,0.775159589092
SCGB1A1,NPTX2-rt,0.775159589092
SCGN,NPTX2-rt,0.775159589092
SCTR,NPTX2-rt,0.775159589092
SDR9C7,NPTX2-rt,0.775159589092
SLC4A4,NPTX2-rt,0.775159589092
SV2B,NPTX2-rt,0.775159589092
ABCC8,STXBP5-rt,0.887435468651
ACOT7,STXBP5-rt,0.887435468651
C11orf87,STXBP5-rt,0.887435468651
CAMK2B,STXBP5-rt,0.887435468651
CELA3A,STXBP5-rt,0.887435468651
CHGA,STXBP5-rt,0.887435468651
CLEC4G,STXBP5-rt,0.887435468651
CLPS,STXBP5-rt,0.887435468651
CNGA3,STXBP5-rt,0.887435468651
COL28A1,STXBP5-rt,0.887435468651
CRH,STXBP5-rt,0.887435468651
CRYBA2,STXBP5-rt,0.887435468651
ERO1LB,STXBP5-rt,0.887435468651
FEV,STXBP5-rt,0.887435468651
FGF14,STXBP5-rt,0.887435468651
FSTL5,STXBP5-rt,0.887435468651
GAD2,STXBP5-rt,0.887435468651
