EXP_GENE,RT_GENE,CORR
ADRA1B,RTN1-rt,0.917869618905
ATP8B4,RTN1-rt,0.917869618905
CCDC85A,RTN1-rt,0.917869618905
CEBPD,RTN1-rt,0.917869618905
CHRDL2,RTN1-rt,0.917869618905
CILP,RTN1-rt,0.917869618905
CLCA2,RTN1-rt,0.917869618905
CMKLR1,RTN1-rt,0.917869618905
COL15A1,RTN1-rt,0.917869618905
COL8A2,RTN1-rt,0.917869618905
COMP,RTN1-rt,0.917869618905
CRISPLD2,RTN1-rt,0.917869618905
CXCL14,RTN1-rt,0.917869618905
DUOXA1,RTN1-rt,0.917869618905
EGFLAM,RTN1-rt,0.917869618905
ENDOD1,RTN1-rt,0.917869618905
HGF,RTN1-rt,0.917869618905
LAMA2,RTN1-rt,0.917869618905
LRFN5,RTN1-rt,0.917869618905
LTBR,RTN1-rt,0.917869618905
MC1R,RTN1-rt,0.917869618905
MFAP4,RTN1-rt,0.917869618905
MMP23B,RTN1-rt,0.917869618905
NFKBIZ,RTN1-rt,0.917869618905
NLRP3,RTN1-rt,0.917869618905
OGN,RTN1-rt,0.917869618905
OSR1,RTN1-rt,0.917869618905
PROK1,RTN1-rt,0.917869618905
PTGES,RTN1-rt,0.917869618905
PTPRR,RTN1-rt,0.917869618905
REG4,RTN1-rt,0.917869618905
RSPO2,RTN1-rt,0.917869618905
S100A4,RTN1-rt,0.917869618905
SERPINB13,RTN1-rt,0.917869618905
SLC2A10,RTN1-rt,0.917869618905
SLITRK6,RTN1-rt,0.917869618905
SMCO3,RTN1-rt,0.917869618905
SOCS3,RTN1-rt,0.917869618905
SPRR3,RTN1-rt,0.917869618905
SVEP1,RTN1-rt,0.917869618905
TGFBR3,RTN1-rt,0.917869618905
TNNT3,RTN1-rt,0.917869618905
WFDC1,RTN1-rt,0.917869618905
ZBED2,RTN1-rt,0.917869618905
ADRA1B,LIPK-rt,0.893663432252
ATP8B4,LIPK-rt,0.893663432252
CCDC85A,LIPK-rt,0.893663432252
CEBPD,LIPK-rt,0.893663432252
CHRDL2,LIPK-rt,0.893663432252
CILP,LIPK-rt,0.893663432252
CLCA2,LIPK-rt,0.893663432252
CMKLR1,LIPK-rt,0.893663432252
COL15A1,LIPK-rt,0.893663432252
COL8A2,LIPK-rt,0.893663432252
COMP,LIPK-rt,0.893663432252
CRISPLD2,LIPK-rt,0.893663432252
CXCL14,LIPK-rt,0.893663432252
DUOXA1,LIPK-rt,0.893663432252
EGFLAM,LIPK-rt,0.893663432252
ENDOD1,LIPK-rt,0.893663432252
HGF,LIPK-rt,0.893663432252
LAMA2,LIPK-rt,0.893663432252
LRFN5,LIPK-rt,0.893663432252
LTBR,LIPK-rt,0.893663432252
MC1R,LIPK-rt,0.893663432252
MFAP4,LIPK-rt,0.893663432252
MMP23B,LIPK-rt,0.893663432252
NFKBIZ,LIPK-rt,0.893663432252
NLRP3,LIPK-rt,0.893663432252
OGN,LIPK-rt,0.893663432252
OSR1,LIPK-rt,0.893663432252
PROK1,LIPK-rt,0.893663432252
PTGES,LIPK-rt,0.893663432252
PTPRR,LIPK-rt,0.893663432252
REG4,LIPK-rt,0.893663432252
RSPO2,LIPK-rt,0.893663432252
S100A4,LIPK-rt,0.893663432252
SERPINB13,LIPK-rt,0.893663432252
SLC2A10,LIPK-rt,0.893663432252
SLITRK6,LIPK-rt,0.893663432252
SMCO3,LIPK-rt,0.893663432252
SOCS3,LIPK-rt,0.893663432252
SPRR3,LIPK-rt,0.893663432252
SVEP1,LIPK-rt,0.893663432252
TGFBR3,LIPK-rt,0.893663432252
TNNT3,LIPK-rt,0.893663432252
WFDC1,LIPK-rt,0.893663432252
ZBED2,LIPK-rt,0.893663432252
ADRA1B,MSTN-rt,0.961849381902
ATP8B4,MSTN-rt,0.961849381902
CCDC85A,MSTN-rt,0.961849381902
CEBPD,MSTN-rt,0.961849381902
CHRDL2,MSTN-rt,0.961849381902
CILP,MSTN-rt,0.961849381902
CLCA2,MSTN-rt,0.961849381902
CMKLR1,MSTN-rt,0.961849381902
COL15A1,MSTN-rt,0.961849381902
COL8A2,MSTN-rt,0.961849381902
COMP,MSTN-rt,0.961849381902
CRISPLD2,MSTN-rt,0.961849381902
CXCL14,MSTN-rt,0.961849381902
DUOXA1,MSTN-rt,0.961849381902
EGFLAM,MSTN-rt,0.961849381902
ENDOD1,MSTN-rt,0.961849381902
HGF,MSTN-rt,0.961849381902
LAMA2,MSTN-rt,0.961849381902
LRFN5,MSTN-rt,0.961849381902
LTBR,MSTN-rt,0.961849381902
MC1R,MSTN-rt,0.961849381902
MFAP4,MSTN-rt,0.961849381902
MMP23B,MSTN-rt,0.961849381902
NFKBIZ,MSTN-rt,0.961849381902
NLRP3,MSTN-rt,0.961849381902
OGN,MSTN-rt,0.961849381902
OSR1,MSTN-rt,0.961849381902
PROK1,MSTN-rt,0.961849381902
PTGES,MSTN-rt,0.961849381902
PTPRR,MSTN-rt,0.961849381902
REG4,MSTN-rt,0.961849381902
RSPO2,MSTN-rt,0.961849381902
S100A4,MSTN-rt,0.961849381902
SERPINB13,MSTN-rt,0.961849381902
SLC2A10,MSTN-rt,0.961849381902
SLITRK6,MSTN-rt,0.961849381902
SMCO3,MSTN-rt,0.961849381902
