EXP_GENE,RT_GENE,CORR
ADAM15,GLRB-rt,0.986542131495
AK5,GLRB-rt,0.986542131495
CAV1,GLRB-rt,0.986542131495
COL12A1,GLRB-rt,0.986542131495
COL5A3,GLRB-rt,0.986542131495
COL8A1,GLRB-rt,0.986542131495
CORO1C,GLRB-rt,0.986542131495
CPA4,GLRB-rt,0.986542131495
CRIM1,GLRB-rt,0.986542131495
CSPG4,GLRB-rt,0.986542131495
DRAP1,GLRB-rt,0.986542131495
EDIL3,GLRB-rt,0.986542131495
EVA1A,GLRB-rt,0.986542131495
F2RL2,GLRB-rt,0.986542131495
FBN1,GLRB-rt,0.986542131495
FN1,GLRB-rt,0.986542131495
FOSL1,GLRB-rt,0.986542131495
FOXS1,GLRB-rt,0.986542131495
GPC1,GLRB-rt,0.986542131495
GREM1,GLRB-rt,0.986542131495
IGFBP4,GLRB-rt,0.986542131495
IL15,GLRB-rt,0.986542131495
IL7R,GLRB-rt,0.986542131495
ITGA11,GLRB-rt,0.986542131495
ITGB7,GLRB-rt,0.986542131495
KCNMA1,GLRB-rt,0.986542131495
LACTB,GLRB-rt,0.986542131495
LOC645638,GLRB-rt,0.986542131495
MAP1A,GLRB-rt,0.986542131495
MBNL1,GLRB-rt,0.986542131495
MGLL,GLRB-rt,0.986542131495
MPP4,GLRB-rt,0.986542131495
NGF,GLRB-rt,0.986542131495
NTN4,GLRB-rt,0.986542131495
OLFML1,GLRB-rt,0.986542131495
PRKCA,GLRB-rt,0.986542131495
PRSS23,GLRB-rt,0.986542131495
RUNX2,GLRB-rt,0.986542131495
SFTA1P,GLRB-rt,0.986542131495
SH3RF3,GLRB-rt,0.986542131495
SRGN,GLRB-rt,0.986542131495
STARD13,GLRB-rt,0.986542131495
STK32B,GLRB-rt,0.986542131495
THBS2,GLRB-rt,0.986542131495
VGLL3,GLRB-rt,0.986542131495
ADAM15,NIPAL4-rt,0.758619747025
AK5,NIPAL4-rt,0.758619747025
CAV1,NIPAL4-rt,0.758619747025
COL12A1,NIPAL4-rt,0.758619747025
COL5A3,NIPAL4-rt,0.758619747025
COL8A1,NIPAL4-rt,0.758619747025
CORO1C,NIPAL4-rt,0.758619747025
CPA4,NIPAL4-rt,0.758619747025
CRIM1,NIPAL4-rt,0.758619747025
CSPG4,NIPAL4-rt,0.758619747025
DRAP1,NIPAL4-rt,0.758619747025
EDIL3,NIPAL4-rt,0.758619747025
EVA1A,NIPAL4-rt,0.758619747025
F2RL2,NIPAL4-rt,0.758619747025
FBN1,NIPAL4-rt,0.758619747025
FN1,NIPAL4-rt,0.758619747025
FOSL1,NIPAL4-rt,0.758619747025
FOXS1,NIPAL4-rt,0.758619747025
GPC1,NIPAL4-rt,0.758619747025
GREM1,NIPAL4-rt,0.758619747025
IGFBP4,NIPAL4-rt,0.758619747025
IL15,NIPAL4-rt,0.758619747025
IL7R,NIPAL4-rt,0.758619747025
ITGA11,NIPAL4-rt,0.758619747025
ITGB7,NIPAL4-rt,0.758619747025
KCNMA1,NIPAL4-rt,0.758619747025
LACTB,NIPAL4-rt,0.758619747025
LOC645638,NIPAL4-rt,0.758619747025
MAP1A,NIPAL4-rt,0.758619747025
MBNL1,NIPAL4-rt,0.758619747025
MGLL,NIPAL4-rt,0.758619747025
MPP4,NIPAL4-rt,0.758619747025
NGF,NIPAL4-rt,0.758619747025
NTN4,NIPAL4-rt,0.758619747025
OLFML1,NIPAL4-rt,0.758619747025
PRKCA,NIPAL4-rt,0.758619747025
PRSS23,NIPAL4-rt,0.758619747025
RUNX2,NIPAL4-rt,0.758619747025
SFTA1P,NIPAL4-rt,0.758619747025
SH3RF3,NIPAL4-rt,0.758619747025
SRGN,NIPAL4-rt,0.758619747025
STARD13,NIPAL4-rt,0.758619747025
