EXP_GENE,RT_GENE,CORR
ABTB1,DYRK2-rt,0.917370972225
ADAM15,DYRK2-rt,0.917370972225
AEBP1,DYRK2-rt,0.917370972225
AFF3,DYRK2-rt,0.917370972225
AHR,DYRK2-rt,0.917370972225
AIP,DYRK2-rt,0.917370972225
AK5,DYRK2-rt,0.917370972225
BLVRA,DYRK2-rt,0.917370972225
CAV1,DYRK2-rt,0.917370972225
CD44,DYRK2-rt,0.917370972225
CHD3,DYRK2-rt,0.917370972225
COL12A1,DYRK2-rt,0.917370972225
COL5A3,DYRK2-rt,0.917370972225
COL6A2,DYRK2-rt,0.917370972225
COL8A1,DYRK2-rt,0.917370972225
CORO1C,DYRK2-rt,0.917370972225
CPA4,DYRK2-rt,0.917370972225
CRIM1,DYRK2-rt,0.917370972225
CSPG4,DYRK2-rt,0.917370972225
CXXC5,DYRK2-rt,0.917370972225
DLX1,DYRK2-rt,0.917370972225
DRAP1,DYRK2-rt,0.917370972225
ECM1,DYRK2-rt,0.917370972225
EDIL3,DYRK2-rt,0.917370972225
ERCC6,DYRK2-rt,0.917370972225
EVA1A,DYRK2-rt,0.917370972225
F2RL2,DYRK2-rt,0.917370972225
FBN1,DYRK2-rt,0.917370972225
FN1,DYRK2-rt,0.917370972225
FOSL1,DYRK2-rt,0.917370972225
FOXC2,DYRK2-rt,0.917370972225
FOXK1,DYRK2-rt,0.917370972225
FOXP1,DYRK2-rt,0.917370972225
FOXS1,DYRK2-rt,0.917370972225
GPC1,DYRK2-rt,0.917370972225
GREM1,DYRK2-rt,0.917370972225
HCFC2,DYRK2-rt,0.917370972225
HIF1A,DYRK2-rt,0.917370972225
HMGA2,DYRK2-rt,0.917370972225
HSF2BP,DYRK2-rt,0.917370972225
IGFBP4,DYRK2-rt,0.917370972225
IL15,DYRK2-rt,0.917370972225
IL7R,DYRK2-rt,0.917370972225
ITGA11,DYRK2-rt,0.917370972225
ITGB7,DYRK2-rt,0.917370972225
KCNMA1,DYRK2-rt,0.917370972225
KLF2,DYRK2-rt,0.917370972225
KLF9,DYRK2-rt,0.917370972225
LACTB,DYRK2-rt,0.917370972225
LMO7,DYRK2-rt,0.917370972225
LOC645638,DYRK2-rt,0.917370972225
MAFG,DYRK2-rt,0.917370972225
MAP1A,DYRK2-rt,0.917370972225
MBNL1,DYRK2-rt,0.917370972225
MED8,DYRK2-rt,0.917370972225
MGLL,DYRK2-rt,0.917370972225
MPP4,DYRK2-rt,0.917370972225
MSC,DYRK2-rt,0.917370972225
MYBL1,DYRK2-rt,0.917370972225
NCOR2,DYRK2-rt,0.917370972225
NFIC,DYRK2-rt,0.917370972225
NGF,DYRK2-rt,0.917370972225
NPAS2,DYRK2-rt,0.917370972225
NTN4,DYRK2-rt,0.917370972225
OLFML1,DYRK2-rt,0.917370972225
PER1,DYRK2-rt,0.917370972225
PHF20,DYRK2-rt,0.917370972225
PKNOX2,DYRK2-rt,0.917370972225
PRKCA,DYRK2-rt,0.917370972225
PRRX1,DYRK2-rt,0.917370972225
PRSS23,DYRK2-rt,0.917370972225
PSMB9,DYRK2-rt,0.917370972225
PTRF,DYRK2-rt,0.917370972225
RBCK1,DYRK2-rt,0.917370972225
RC3H2,DYRK2-rt,0.917370972225
RUNX2,DYRK2-rt,0.917370972225
SFTA1P,DYRK2-rt,0.917370972225
SH3RF3,DYRK2-rt,0.917370972225
SIX1,DYRK2-rt,0.917370972225
SNAI2,DYRK2-rt,0.917370972225
SNAPC1,DYRK2-rt,0.917370972225
SON,DYRK2-rt,0.917370972225
SP100,DYRK2-rt,0.917370972225
SRGN,DYRK2-rt,0.917370972225
STARD13,DYRK2-rt,0.917370972225
STK32B,DYRK2-rt,0.917370972225
TGFB1I1,DYRK2-rt,0.917370972225
THBS2,DYRK2-rt,0.917370972225
THRA,DYRK2-rt,0.917370972225
TIPARP,DYRK2-rt,0.917370972225
TMF1,DYRK2-rt,0.917370972225
VGLL3,DYRK2-rt,0.917370972225
ZFPL1,DYRK2-rt,0.917370972225
ABTB1,RP11-356I2.4-rt,0.956364134354
ADAM15,RP11-356I2.4-rt,0.956364134354
AEBP1,RP11-356I2.4-rt,0.956364134354
AFF3,RP11-356I2.4-rt,0.956364134354
AHR,RP11-356I2.4-rt,0.956364134354
AIP,RP11-356I2.4-rt,0.956364134354
AK5,RP11-356I2.4-rt,0.956364134354
BLVRA,RP11-356I2.4-rt,0.956364134354
CAV1,RP11-356I2.4-rt,0.956364134354
CD44,RP11-356I2.4-rt,0.956364134354
CHD3,RP11-356I2.4-rt,0.956364134354
COL12A1,RP11-356I2.4-rt,0.956364134354
COL5A3,RP11-356I2.4-rt,0.956364134354
COL6A2,RP11-356I2.4-rt,0.956364134354
COL8A1,RP11-356I2.4-rt,0.956364134354
CORO1C,RP11-356I2.4-rt,0.956364134354
CPA4,RP11-356I2.4-rt,0.956364134354
CRIM1,RP11-356I2.4-rt,0.956364134354
CSPG4,RP11-356I2.4-rt,0.956364134354
CXXC5,RP11-356I2.4-rt,0.956364134354
DLX1,RP11-356I2.4-rt,0.956364134354
DRAP1,RP11-356I2.4-rt,0.956364134354
ECM1,RP11-356I2.4-rt,0.956364134354
EDIL3,RP11-356I2.4-rt,0.956364134354
ERCC6,RP11-356I2.4-rt,0.956364134354
EVA1A,RP11-356I2.4-rt,0.956364134354
F2RL2,RP11-356I2.4-rt,0.956364134354
FBN1,RP11-356I2.4-rt,0.956364134354
FN1,RP11-356I2.4-rt,0.956364134354
FOSL1,RP11-356I2.4-rt,0.956364134354
FOXC2,RP11-356I2.4-rt,0.956364134354
FOXK1,RP11-356I2.4-rt,0.956364134354
FOXP1,RP11-356I2.4-rt,0.956364134354
FOXS1,RP11-356I2.4-rt,0.956364134354
GPC1,RP11-356I2.4-rt,0.956364134354
GREM1,RP11-356I2.4-rt,0.956364134354
HCFC2,RP11-356I2.4-rt,0.956364134354
HIF1A,RP11-356I2.4-rt,0.956364134354
HMGA2,RP11-356I2.4-rt,0.956364134354
HSF2BP,RP11-356I2.4-rt,0.956364134354
IGFBP4,RP11-356I2.4-rt,0.956364134354
IL15,RP11-356I2.4-rt,0.956364134354
IL7R,RP11-356I2.4-rt,0.956364134354
ITGA11,RP11-356I2.4-rt,0.956364134354
ITGB7,RP11-356I2.4-rt,0.956364134354
KCNMA1,RP11-356I2.4-rt,0.956364134354
KLF2,RP11-356I2.4-rt,0.956364134354
KLF9,RP11-356I2.4-rt,0.956364134354
LACTB,RP11-356I2.4-rt,0.956364134354
LMO7,RP11-356I2.4-rt,0.956364134354
LOC645638,RP11-356I2.4-rt,0.956364134354
MAFG,RP11-356I2.4-rt,0.956364134354
MAP1A,RP11-356I2.4-rt,0.956364134354
MBNL1,RP11-356I2.4-rt,0.956364134354
MED8,RP11-356I2.4-rt,0.956364134354
MGLL,RP11-356I2.4-rt,0.956364134354
MPP4,RP11-356I2.4-rt,0.956364134354
MSC,RP11-356I2.4-rt,0.956364134354
MYBL1,RP11-356I2.4-rt,0.956364134354
NCOR2,RP11-356I2.4-rt,0.956364134354
