GENE,TYPE,MAX_CORR
ABCC8,EXP,0.0
ACOT7,EXP,0.0
C11orf87,EXP,0.0
CAMK2B,EXP,0.0
CELA3A,EXP,0.0
CHGA,EXP,0.0
CLEC4G,EXP,0.0
CLPS,EXP,0.0
CNGA3,EXP,0.0
COL28A1,EXP,0.0
CRH,EXP,0.0
CRYBA2,EXP,0.0
ERO1LB,EXP,0.0
FEV,EXP,0.0
FGF14,EXP,0.0
FSTL5,EXP,0.0
GAD2,EXP,0.0
GALR1,EXP,0.0
GFRA3,EXP,0.0
GUCA2B,EXP,0.0
INS,EXP,0.0
INSM1,EXP,0.0
KCNJ6,EXP,0.0
KCNK16,EXP,0.0
KCNK17,EXP,0.0
KIRREL2,EXP,0.0
LINC00607,EXP,0.0
MIR7-3HG,EXP,0.0
MSMB,EXP,0.0
NDFIP1,EXP,0.0
NEUROD1,EXP,0.0
NKX2-2,EXP,0.0
NPHS1,EXP,0.0
PAX4,EXP,0.0
PCSK1,EXP,0.0
PDX1,EXP,0.0
PTF1A,EXP,0.0
RAB26,EXP,0.0
SCGB1A1,EXP,0.0
SCGN,EXP,0.0
SCTR,EXP,0.0
SDR9C7,EXP,0.0
SLC4A4,EXP,0.0
SV2B,EXP,0.0
LINC00909-rt,RT,0.998794
CHST10-rt,RT,0.998536
FBXO15-rt,RT,0.996240
TIMM21-rt,RT,0.995724
ANKEF1-rt,RT,0.995598
PPP1R1C-rt,RT,0.994212
C18orf63-rt,RT,0.993317
RND3-rt,RT,0.992604
SPRY2-rt,RT,0.990783
C1orf87-rt,RT,0.990477
CYB5A-rt,RT,0.989555
C10orf115-rt,RT,0.986863
CNDP2-rt,RT,0.983964
LINC01080-rt,RT,0.983857
DNAJC2-rt,RT,0.983567
SAMD5-rt,RT,0.983039
NEUROD1-rt,RT,0.982652
KCNE4-rt,RT,0.982246
RELL1-rt,RT,0.980385
PMPCB-rt,RT,0.979614
PTF1A-rt,RT,0.979110
DPY19L3-rt,RT,0.974906
C4orf19-rt,RT,0.973388
IYD-rt,RT,0.973083
LINC01104-rt,RT,0.970854
RUNX1-rt,RT,0.970750
SPAG6-rt,RT,0.970108
PIP4K2A-rt,RT,0.969192
NPAS2-rt,RT,0.963072
PLEKHG1-rt,RT,0.962072
C10orf11-rt,RT,0.961148
COMMD3-rt,RT,0.959549
PPP1R14C-rt,RT,0.958172
ABCA13-rt,RT,0.957565
PRTFDC1-rt,RT,0.954820
AGFG1-rt,RT,0.953493
JAG1-rt,RT,0.952456
STXBP5-rt,RT,0.949867
SLCO1C1-rt,RT,0.946623
KLF12-rt,RT,0.945334
KIAA1217-rt,RT,0.945060
LHFPL3-rt,RT,0.945052
LOC100130992-rt,RT,0.940780
DLL1-rt,RT,0.939439
KCNMA1-rt,RT,0.935303
NPTX2-rt,RT,0.929190
TSPYL5-rt,RT,0.923776
NOG-rt,RT,0.922973
AFF3-rt,RT,0.921889
PSCA-rt,RT,0.921022
ITGA8-rt,RT,0.919466
AFAP1L2-rt,RT,0.915067
NABP1-rt,RT,0.914837
FCRL2-rt,RT,0.910999
HECTD2-rt,RT,0.910933
CRCT1-rt,RT,0.910715
LY6K-rt,RT,0.910446
LCE5A-rt,RT,0.906973
DMBT1-rt,RT,0.905987
ZNF507-rt,RT,0.901956
MIR548AP-rt,RT,0.900580
COX6C-rt,RT,0.898874
LOC100188947-rt,RT,0.898293
FBXO25-rt,RT,0.897675
THEM6-rt,RT,0.895581
WDR92-rt,RT,0.890613
LYPD2-rt,RT,0.888564
FOXK1-rt,RT,0.886955
LYNX1-rt,RT,0.885140
FOXC2-rt,RT,0.884191
FLJ30679-rt,RT,0.878695
MTHFSD-rt,RT,0.875322
MTUS2-rt,RT,0.867287
FOXF1-rt,RT,0.846446
DIP2C-rt,RT,0.816212
